N,Z,A,Element,Rc (fm),uncertainty
8,3,11,Li,2.570544217,0.081992827
7,4,11,Be,2.767263868,0.081015195
8,4,12,Be,2.563349588,0.076554021
6,5,11,B,2.3305423,0.063831185
8,6,14,C,2.478433939,0.068537682
8,7,15,N,2.532155323,0.068030432
6,8,14,O,2.724244334,0.068537682
7,8,15,O,2.645172207,0.068030515
10,8,18,O,2.785194424,0.075329933
10,9,19,F,2.862450466,0.075772644
11,9,20,F,2.837176502,0.07608256
8,10,18,Ne,2.989564217,0.07532995
9,10,19,Ne,2.959215181,0.075772649
11,10,21,Ne,2.956770958,0.077801667
12,10,22,Ne,2.884927597,0.076797706
13,10,23,Ne,2.887185515,0.077668311
14,10,24,Ne,2.859681414,0.077713983
15,10,25,Ne,2.856860199,0.062621452
16,10,26,Ne,2.899737538,0.071072192
9,11,20,Na,3.020656901,0.076082682
10,11,21,Na,3.045588033,0.077801668
12,11,23,Na,2.912758771,0.076242748
13,11,24,Na,2.929842647,0.077501576
14,11,25,Na,2.95795984,0.045218964
15,11,26,Na,3.013330981,0.055220372
16,11,27,Na,3.022111702,0.065342488
17,11,28,Na,2.960946068,0.063860181
18,11,29,Na,2.958418951,0.05626364
9,12,21,Mg,3.061174483,0.075985267
10,12,22,Mg,3.05133219,0.076797708
11,12,23,Mg,2.991320566,0.076242748
13,12,25,Mg,3.101411173,0.046234146
14,12,26,Mg,3.039000768,0.045733509
15,12,27,Mg,3.067662433,0.046597572
16,12,28,Mg,3.081727972,0.052114129
17,12,29,Mg,3.082607575,0.052327326
18,12,30,Mg,3.043757569,0.049673618
19,12,31,Mg,3.03414015,0.052222257
14,13,27,Al,3.041042096,0.0451531
10,14,24,Si,3.164765054,0.077725396
11,14,25,Si,3.175832028,0.045225177
12,14,26,Si,3.179631275,0.04573351
13,14,27,Si,3.107546095,0.045153102
15,14,29,Si,3.203596919,0.047397876
16,14,30,Si,3.152760016,0.047022514
18,14,32,Si,3.137605129,0.034208586
16,15,31,P,3.182121287,0.046929938
10,16,26,S,3.321814536,0.077297861
11,16,27,S,3.367696426,0.06906215
12,16,28,S,3.348256433,0.052959632
14,16,30,S,3.275569304,0.047022517
15,16,31,S,3.241138849,0.046929944
18,16,34,S,3.247271654,0.034642634
20,16,36,S,3.25711551,0.035517536
18,17,35,Cl,3.280505084,0.034661486
19,17,36,Cl,3.309668313,0.035200825
20,17,37,Cl,3.304983783,0.03537094
11,18,29,Ar,3.401011561,0.059042155
12,18,30,Ar,3.413867655,0.050283117
14,18,32,Ar,3.369890081,0.0342087
15,18,33,Ar,3.348462648,0.034281178
16,18,34,Ar,3.35695021,0.034642634
17,18,35,Ar,3.333565941,0.034661538
19,18,37,Ar,3.385301053,0.035682396
20,18,38,Ar,3.367351026,0.035715454
21,18,39,Ar,3.422036142,0.036719366
22,18,40,Ar,3.416081913,0.037510513
23,18,41,Ar,3.407038505,0.041244761
24,18,42,Ar,3.371643136,0.039216668
25,18,43,Ar,3.375967841,0.040716381
17,19,36,K,3.413985696,0.035200831
18,19,37,K,3.436519317,0.035682401
20,19,39,K,3.391516372,0.035671473
21,19,40,K,3.466759917,0.036683619
22,19,41,K,3.478961328,0.037270407
23,19,42,K,3.444137163,0.040682772
24,19,43,K,3.476122266,0.038756989
25,19,44,K,3.414494778,0.039722435
26,19,45,K,3.441534387,0.037345719
16,20,36,Ca,3.465721403,0.035559764
17,20,37,Ca,3.45729398,0.035370954
18,20,38,Ca,3.466754114,0.035715458
19,20,39,Ca,3.439678542,0.035671503
21,20,41,Ca,3.586725935,0.037648843
22,20,42,Ca,3.551222329,0.03366535
23,20,43,Ca,3.564653191,0.034623721
24,20,44,Ca,3.545080062,0.03445122
25,20,45,Ca,3.53678158,0.044087332
26,20,46,Ca,3.501877865,0.040926182
27,20,47,Ca,3.487648795,0.049763509
28,20,48,Ca,3.449792728,0.040026227
20,21,41,Sc,3.634679162,0.037648846
24,21,45,Sc,3.572667046,0.03437749
18,22,40,Ti,3.608261328,0.037608833
19,22,41,Ti,3.62038583,0.037291727
20,22,42,Ti,3.643861675,0.033665354
24,22,46,Ti,3.612955406,0.034207857
27,22,49,Ti,3.606406683,0.05390248
28,22,50,Ti,3.563052429,0.04812831
28,23,51,V,3.611169985,0.053887409
18,24,42,Cr,3.642578973,0.040186929
19,24,43,Cr,3.70069768,0.039398855
20,24,44,Cr,3.722046202,0.034501591
21,24,45,Cr,3.701982661,0.034407488
22,24,46,Cr,3.697327213,0.034212352
28,24,52,Cr,3.662919727,0.035771671
29,24,53,Cr,3.63109465,0.051094226
26,25,51,Mn,3.711253947,0.034719663
27,25,52,Mn,3.712998623,0.03490043
28,25,53,Mn,3.698648199,0.035059245
29,25,54,Mn,3.665181539,0.05075511
30,25,55,Mn,3.673112587,0.045952927
31,25,56,Mn,3.666272925,0.047413455
19,26,45,Fe,3.739397916,0.037993942
20,26,46,Fe,3.753073845,0.041875308
25,26,51,Fe,3.749262428,0.03471977
27,26,53,Fe,3.761944192,0.035158978
28,26,54,Fe,3.734512727,0.035047901
30,26,56,Fe,3.717869414,0.051788787
31,26,57,Fe,3.709140589,0.046507958
32,26,58,Fe,3.706377847,0.048073673
25,27,52,Co,3.787652699,0.034901127
26,27,53,Co,3.798713519,0.035159255
32,27,59,Co,3.760825357,0.04735371
20,28,48,Ni,3.766278182,0.041139685
22,28,50,Ni,3.793380355,0.049688395
23,28,51,Ni,3.799962083,0.055568196
