N,Z,A,Element,Binding energy per nucleon (keV),uncertainty
5,6,11,C,6684.336894,7.299715738
4,7,11,N,5286.061485,19.90555998
3,8,11,O,3127.014358,36.89753865
4,8,12,O,4861.786874,26.19156235
6,8,14,O,7056.779365,12.91947288
7,8,15,O,7470.354758,6.195265127
10,8,18,O,7769.701269,10.8512394
10,9,19,F,7775.572316,5.339030525
11,9,20,F,7727.066807,12.37760151
12,9,21,F,7737.936645,15.8855266
8,10,18,Ne,7339.323337,11.60203465
9,10,19,Ne,7569.910851,5.538292654
11,10,21,Ne,7973.90185,5.672895665
12,10,22,Ne,8078.047421,10.52123057
10,11,21,Na,7766.441805,5.406141997
12,11,23,Na,8107.941253,5.28874891
10,12,22,Mg,7672.324218,10.87891464
11,12,23,Mg,7906.803895,5.359767019
10,13,23,Al,7340.669102,16.60086972
11,13,24,Al,7655.657651,11.03432467
12,13,25,Al,8016.305681,3.097017524
10,14,24,Si,7178.914611,22.22591379
11,14,25,Si,7484.063762,10.78028341
12,14,26,Si,7924.033901,6.177574662
13,14,27,Si,8125.69303,3.063692731
18,14,32,Si,8486.860412,8.119457534
11,15,26,P,7192.469359,15.39450776
12,15,27,P,7654.140455,9.276300525
14,15,29,P,8245.791672,3.020109162
18,15,33,P,8514.622826,6.081349339
10,16,26,S,6535.638092,19.64966157
11,16,27,S,6957.184194,21.93211734
12,16,28,S,7475.603427,12.27323343
14,16,30,S,8120.274903,5.993379842
15,16,31,S,8282.225097,2.93639043
18,16,34,S,8582.529874,3.997859081
20,16,36,S,8579.00587,7.889526395
11,17,28,Cl,6618.52443,29.16102045
12,17,29,Cl,7126.853044,15.35118292
18,17,35,Cl,8518.557311,2.001235158
19,17,36,Cl,8522.208865,4.250620405
20,17,37,Cl,8571.809459,5.848354673
10,18,28,Ar,5809.449942,26.62410132
11,18,29,Ar,6336.835818,37.9224052
12,18,30,Ar,6891.687106,18.39084696
16,18,34,Ar,8202.068794,4.076479903
17,18,35,Ar,8332.326061,2.254168587
19,18,37,Ar,8527.869336,2.034126489
20,18,38,Ar,8614.351325,3.862882828
11,19,30,K,5986.47812,49.21801849
12,19,31,K,6537.330773,21.52515782
18,19,37,K,8340.151737,1.97466458
20,19,39,K,8555.80169,1.933583748
11,20,31,Ca,5731.358771,53.95522191
12,20,32,Ca,6321.822203,18.39327582
16,20,36,Ca,7825.409061,8.12266222
17,20,37,Ca,8016.692031,6.544902944
18,20,38,Ca,8243.942051,3.933393919
19,20,39,Ca,8372.037436,1.94831081
18,21,39,Sc,8011.40607,5.903404444
19,21,40,Sc,8170.53568,3.9098137
20,21,41,Sc,8363.648763,1.924114899
18,22,40,Ti,7868.271839,7.818990383
19,22,41,Ti,8030.142342,5.901169969
20,22,42,Ti,8254.847688,3.435875545
18,23,41,V,7629.795376,9.788067252
19,23,42,V,7825.446261,7.258050123
20,23,43,V,8058.772313,5.176630578
18,24,42,Cr,7478.289078,10.56566376
19,24,43,Cr,7674.155399,9.281645443
20,24,44,Cr,7944.334711,6.850497488
21,24,45,Cr,8083.71862,5.102727983
22,24,46,Cr,8303.241069,3.34197538
18,25,43,Mn,7235.061524,12.33854762
19,25,44,Mn,7469.02669,11.44048739
20,25,45,Mn,7736.565383,8.623600721
18,26,44,Fe,7072.134952,14.09423305
19,26,45,Fe,7304.545199,13.69268858
20,26,46,Fe,7601.055011,10.34821333
25,26,51,Fe,8460.649112,1.676265954
19,27,46,Co,7091.902618,16.17938808
20,27,47,Co,7392.51479,12.13649953
22,27,49,Co,7831.928665,8.432038141
25,27,52,Co,8322.004433,3.308741217
26,27,53,Co,8475.093082,1.64343775
18,28,46,Ni,6645.848604,17.6418975
19,28,47,Ni,6916.084727,18.75680843
20,28,48,Ni,7247.480778,13.87363803
22,28,50,Ni,7704.168469,10.12837887
23,28,51,Ni,7867.342714,8.370391997
24,28,52,Ni,8080.533339,6.648613165
25,28,53,Ni,8212.612004,4.9487488
26,28,54,Ni,8389.201412,3.261994866
19,29,48,Cu,6678.23907,21.23346738
20,29,49,Cu,7010.837279,15.55148555
24,29,53,Cu,7895.762635,8.426088104
25,29,54,Cu,8048.390089,6.553082153
19,30,49,Zn,6460.091343,23.70894824
20,30,50,Zn,6810.39004,17.13943661
25,30,55,Zn,7911.571732,8.131293618
26,30,56,Zn,8109.630892,6.443402907
28,30,58,Zn,8391.56917,3.190707287
29,30,59,Zn,8472.910136,1.629745288
19,31,50,Ga,6217.723554,26.42339835
20,31,51,Ga,6577.66035,18.78033172
25,31,56,Ga,7719.924218,9.757090284
26,31,57,Ga,7926.028563,8.021903326
29,31,60,Ga,8330.098526,3.207376143
19,32,51,Ge,5995.005815,29.72203829
20,32,52,Ge,6375.864223,20.38272338
25,32,57,Ge,7559.152373,11.33916177
26,32,58,Ge,7788.449623,9.568326243
27,32,59,Ge,7929.944398,7.953806244
28,32,60,Ge,8111.165925,6.317937244
29,32,61,Ge,8216.617972,4.733443079
30,32,62,Ge,8349.226925,3.136800944
31,32,63,Ge,8419.293407,1.694958153
25,33,58,As,7356.94461,12.98093737
28,33,61,As,7933.274273,7.875795908
29,33,62,As,8056.656702,6.275201339
30,33,63,As,8194.493612,4.664606222
31,33,64,As,8284.183911,3.314701015
25,34,59,Se,7182.096435,14.65701243
28,34,62,Se,7804.473102,9.406005887
